gateno,mdl,nation,bridge,starttime
101,C,国际,1,
102,C,国际,1,
103,D,国际,1,
104,D,国际,1,
105,F,国际,1,
106,E,国际,1,
107,E,国际,1,
108,D,国际,1,
109,D,国际,1,
110,D,国际,1,
111,C,国际,1,
112,D,国际,1,
113,D,国际,1,
114,D,国内,1,
115,D,国内,1,
116,D,国内,1,
117,C,国内,1,
118,C,国内,1,
119,C,国内,1,
120,C,国内,1,
121,C,国内,1,
122,C,国内,1,
123,C,国内,1,
124,C,国内,1,
125,C,国内,1,
126,C,国内,1,
127,C,国内,1,
128,D,国内,1,
129,D,国内,1,
130,D,国内,1,
131,D,国内,1,
132,D,国内,1,
133,D,国内,1,
134,E,国内,1,
135,E,国内,1,
136,D,国内,1,
137,D,国内,1,
138,D,国内,1,
139,D,国内,1,
140,F,国内,1,
141,D,国内,1,
142,D,国内,1,
143,C,国内,1,
144,C,国内,1,
145,C,国内,1,
146,C,国内,1,
147,C,国内,1,
148,C,国内,1,
149,C,国内,1,
150,C,国内,1,
151,C,国内,1,
152,C,国内,1,
153,D,国内,1,
154,D,国内,1,
155,D,国内,1,
156,D,国内,1,
157,D,国内,1,
158,D,国内,1,
159,D,国内,1,
160,D,国内,1,
161,D,国内,1,
162,D,国内,1,
163,E,国内,1,
164,E,国内,1,
165,D,国内,1,
166,D,国内,1,
167,D,国内,1,
168,C,国内,1,
311,C,国内,0,
312,E,国内,0,
313,E,国内,0,
314,D,国内,0,
315,C,国内,0,
316,C,国内,0,
317,C,国内,0,
318,D,国内,0,
321,C,国内,0,
322,E,国内,0,
323,E,国内,0,
324,C,国内,0,
325,C,国内,0,
326,C,国内,0,
327,C,国内,0,
328,C,国内,0,
329,D,国内,0,
330,D,国内,0,
501,C,国内,0,
502,C,国内,0,
503,C,国内,0,
504,C,国内,0,
505,C,国内,0,
506,C,国内,0,
507,C,国内,0,
508,C,国内,0,
509,C,国内,0,
510,C,国内,0,
511,C,国内,0,
512,C,国内,0,
513,C,国内,0,
514,C,国内,0,
515,C,国内,0,
516,C,国内,0,
517,C,国内,0,
518,F,国内,0,
519,E,国内,0,
520,E,国内,0,
521,E,国内,0,
522,E,国内,0,
523,E,国内,0,
524,E,国内,0,
525,E,国内,0,
526,E,国内,0,
531,C,国内,0,
532,C,国内,0,
533,C,国内,0,
534,C,国内,0,
535,C,国内,0,
536,C,国内,0,
537,C,国内,0,
538,C,国内,0,
539,C,国内,0,
540,C,国内,0,
541,C,国内,0,
542,C,国内,0,
543,C,国内,0,
544,C,国内,0,
591,C,国内,0,
592,C,国内,0,
593,C,国内,0,
701,C,国内,0,
702,C,国内,0,
703,C,国内,0,
704,C,国内,0,
705,E,国内,0,
706,C,国内,0,
707,C,国内,0,
708,E,国内,0,
709,E,国内,0,
710,C,国内,0,
711,C,国内,0,
712,C,国内,0,
713,C,国内,0,
714,C,国内,0,
715,C,国内,0,
716,C,国内,0,
717,C,国内,0,
718,C,国内,0,
719,C,国内,0,
720,E,国内,0,
721,E,国内,0,
722,E,国内,0,
723,E,国内,0,
724,C,国内,0,
519L,C,国内,0,
519R,C,国内,0,
521L,C,国内,0,
521R,C,国内,0,
522L,C,国内,0,
522R,C,国内,0,
523L,C,国内,0,
523R,C,国内,0,
524L,C,国内,0,
524R,C,国内,0,
525L,C,国内,0,
525R,C,国内,0,
526L,C,国内,0,
526R,C,国内,0,
708L,C,国内,0,
708R,C,国内,0,
722A,C,国内,0,
722B,C,国内,0,
L31,E,国内,0,
L32,E,国内,0,
L33,C,国内,0,
L34,E,国内,0,
L35,E,国内,0,
L36,E,国内,0,
L41,E,国内,0,
L42,E,国内,0,
L43,C,国内,0,
L44,C,国内,0,
L45,E,国内,0,
L46,E,国内,0,
L51,C,国内,0,
L52,C,国内,0,
L53,C,国内,0,
L54,C,国内,0,
L55,C,国内,0,
L56,C,国内,0,
L57,C,国内,0,
L58,C,国内,0,
L61,C,国内,0,
L62,C,国内,0,
L63,C,国内,0,
L64,C,国内,0,
L65,C,国内,0,
L66,C,国内,0,
L67,C,国内,0,
L68,C,国内,0,
L71,E,国内,0,
L81,E,国内,0,
